Tube.number,Bird.ID,Inoculation.Date,Treatment,Diet,Clutch#,Egg#,Date.Laid,Egg.Mass.Day.Laid,Egg.Mass.Freezer,Yolk.Mass,sampleID,Estrone,Estradiol,Androstenedione,Testosterone,Dehydroepiandrosterone,Etiocholanolone,11-Ketotestoterone,Progesterone,Pregnenolone,17a-hydroxyprogesterone,17a-hydroxypregnenolone,Dihydroprogesterone,11-Dexoycortisol,Cortisone,5b-dihydrocortisone,20b-DHP,Cortisol,5b-dihydrocortisol,5b-tetrahydrocortisone,5b-tetrahydrocortisol,b-cortol,Corticosterone,5b-tetrahydrocorticosterone,11-tetrahydrocorticosterone,5b-corticosterone,Deoxycorticosterone,20_-dihydrocorticosterone,5_-dihydroproggesterone,Pregnanolone
1,SEM 19-1354,3/17/20,Control,Protein,1,4,5/24/20,1.7543,1.6673,0.2771,RP1,0,0,1.1,23.5,3.4,174.5,0.9,175.4,2921.4,0,17.43704179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.5,91.4230723
2,Blue-031,2/24/20,MG,Lipid,1,3,4/27/20,1.9152,1.8291,0.4609,RP2,0,0,1.3,23.3,3.462236235,82.5,0,59.2,1053.8,0,8.49289019,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,1.3,0,3.1,254.3,37.89686845
3,Blue-043,1/13/20,MG,Lipid,1,4,3/21/20,1.9144,1.7959,0.3528,RP3,0,0,31.2,46.2,5.020625271,127.8,0,354,3050.4,1.1,25.6575617,1.4,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,433.3,58.57898715
4,LD 19-239,5/11/20,MG,Lipid,1,2,7/17/20,2.1754,2.0856,0,RP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Blue-045,2/24/20,MG,Protein,1,2,4/25/20,2.2479,2.1828,0.525,RP5,0,0,3.4,19.5,1.714285714,71.9,0,198.9,1892.7,0.1,29.99854376,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0,0.3,257.2,36.06349206
6,Blue-043,1/13/20,MG,Lipid,1,3,3/20/20,1.9541,1.8781,0.3391,RP6,0,0,20.4,64.5,5.364638561,137,0,356.4,2817.9,1.8,19.29915219,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.6,50.32930306
7,Blue-013,3/2/20,Control,Protein,1,2,5/21/20,2.1148,2.0322,0.3425,RP7,0,0,1.1,8,0,191.3,0,160.1,1733.3,0,21.65226902,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,829.4,64.23357664
8,Blue-049,1/13/20,Control,Protein,1,2,3/14/20,2.1565,2.0778,0.4186,RP8,0,0,0.9,8.1,0,83,0,176.7,1846.7,0,21.36873896,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,7.8,532.6,101.6085364
9,SEM 19-74,3/17/20,MG,Protein,1,4,5/29/20,1.8058,1.6897,0.3338,RP9,0,0,2.6,20.6,0,160.4,0,15,1222.1,0,18.50620141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.1,63.1116437
10,601,3/17/20,Control,Protein,1,1,5/18/20,1.9797,1.8816,0.2667,RP10,0,0,0.5,7.4,0,266.1,0,264.4,3094.9,0,20.9262833,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,5.6,1074.7,137.9827522
11,Blue-045,2/24/20,MG,Protein,1,1,4/24/20,2.1776,2.0655,0.45,RP11,0,0,4.7,18.1,0,124.7,0,380.4,2257.5,0,38.05640503,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,486.9,48.88888889
12,Blue-032,2/24/20,MG,Protein,1,1,4/21/20,2.2652,2.1322,0.4686,RP12,0,0,2.8,18.5,0,247.1,0,73.1,1602.2,0,19.18656784,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,492,50.36278276
13,Blue-024,2/24/20,Control,Protein,1,3,4/27/20,2.1858,2.0603,0.4749,RP13,0,0,1.3,9.3,1.297025578,80.3,0,44.9,1133.1,0,7.212205628,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0,1.6,262.1,41.55260757
14,610,5/11/20,MG,Protein,1,3,7/9/20,2.0863,1.991,0.3913,RP14,0,0,0.5,8.2,0,70.3,0,168.3,2085,0,11.29302388,0,0,0,0,0,3.8,0,0,0,0,0,0,0.8,0,0,0,605.5,81.09719738
15,610,5/11/20,MG,Protein,1,4,7/10/20,1.9909,1.9221,0.3067,RP15,0,0,1.8,20.7,1.623320314,129.7,0,184,2934.5,0,14.40808688,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.1,0,1.9,602.3,120.8564286
16,101-LS,2/24/20,MG,Lipid,1,1,4/29/20,2.1569,2.0307,0.3585,RP16,0,0,6.9,44.6,3.609899404,141,0,374.7,3077.2,0,43.93092182,0.5,0,0,0,0,0,0,0,0,0,0,0,0.7,3.7,0,5.7,490.4,38.30776383
17,SEM 19-140,5/11/20,Control,Lipid,1,3,7/19/20,2.2421,2.1886,0.4217,RP17,0,0,0.5,11.1,0,91.8,0,59.5,1155.6,0,15.26513841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,73.67006561
18,601,3/17/20,Control,Protein,1,2,5/19/20,2.0511,1.9614,0.4037,RP18,0,0,0.2,5.4,0,149.5,0,105.3,2083.9,0,11.21128037,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0,0,741.5,90.49624308
19,Blue-031,2/24/20,MG,Lipid,1,4,4/28/20,1.9074,1.8096,0.425,RP19,0,0,6.9,37.3,1.869837297,119.9,0,68.6,2282,0,13.70750135,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.7,37.96078431
20,Blue-015,2/24/20,MG,Lipid,1,3,4/27/20,1.9921,1.8409,0.318,RP20,0,0,1.5,14.8,0,90.8,0,137.3,2565.6,0,11.73234859,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,320.5,39.53878407
21,172,3/17/20,Control,Protein,1,2,6/2/20,2.3119,2.1848,0.3168,RP21,0,0,1.8,34.1,4.563588008,244.3,0,44.3,2159.5,0,28.81452136,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,4.8,0,8.4,418.2,54.71380471
22,610,5/11/20,MG,Protein,1,5,7/11/20,2.1219,2.0594,0.3994,RP22,0,0,2.6,21.2,3.044460307,125.9,0,78.8,2396.5,0,16.99797403,0.3,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,526.3,85.12769154
23,Blue-013,3/2/20,Control,Protein,1,1,5/20/20,2.1791,2.0967,0.4235,RP23,0,0,0.1,1.2,0,93.9,0,178.1,1086.9,0,13.93657774,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0,0,700.9,70.2085793
24,615,5/11/20,Control,Protein,1,1,7/4/20,1.7304,1.588,0.4252,RP24,0,0,1.5,5.7,0,61.2,0,88.4,981.8,0,14.77987693,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,194.7,35.1207275
25,Blue-042,1/13/20,MG,Protein,1,2,3/16/20,2.1314,2.0358,0.3703,RP25,0,0,4.6,36,2.77951747,227.7,0,73.7,1838.9,0.4,26.01411699,0.2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.3,316.8,21.38806373
26,SEM 19-140,5/11/20,Control,Lipid,1,1,7/17/20,2.633,2.575,0.5199,RP26,0,0,0.4,3.9,0,114,0,138.1,772.4,0,13.73470433,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,379.8,50.00961723
27,172,3/17/20,Control,Protein,1,1,6/1/20,2.3572,2.2407,0.3493,RP27,0,0,0.5,9.2,1.297427682,225.8,0,164.9,1381.4,0,30.51100016,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1.2,485,37.4844928
28,619,3/17/20,MG,Lipid,1,4,5/19/20,1.7046,1.6255,0.3038,RP28,0,0,1.8,26.1,2.300645722,179.8,0,57.3,2079.5,0,29.1919076,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,478,80.7548826
29,Blue-015,2/24/20,MG,Lipid,1,2,4/26/20,2.0422,1.9464,0.3856,RP29,0,0,0.9,6.6,0,43.8,0,336.3,2054.1,0,12.49095892,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,337,41.49377593
30,48,1/13/20,Control,Lipid,1,3,3/22/20,2.2495,,0.3867,RP30,0,0,1.8,17.1,1.865209712,204.7,0,84,1514.6,0,23.21059004,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.3,0,1.5,813.7,106.8873373
31,Blue-010,5/11/20,Control,Lipid,1,1,7/2/20,1.804,1.7121,0.4622,RP31,0,0,5.4,19.8,1.322306821,83.7,0,178,1923.2,0,14.25836016,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,264,45.29063897
32,Blue-032,2/24/20,MG,Protein,1,3,4/23/20,2.2512,2.1349,0.4317,RP32,0,0,1,14.2,1.652299913,192.8,0,69.6,2095.8,0,22.63294464,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.7,0,3.2,675.7,76.28754536
33,601,3/17/20,Control,Protein,1,5,5/22/20,1.8413,1.7442,0.3592,RP33,0,0,0.2,3.6,0,96,0,47.3,1891.3,0,8.258242918,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.2,0,0,627.7,126.5775798
34,Blue-035,1/13/20,MG,Protein,1,5,3/16/20,2.3096,2.2174,0.3157,RP34,0,0,0.8,11.7,1.309147521,151.5,0,148,1714.5,0,15.64408591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.9,42.65653046
35,SEM 19-140,5/11/20,Control,Lipid,1,2,7/18/20,2.3912,2.3383,0.4349,RP35,0,0,0.8,8.1,1.453011942,126.9,0,154.1,1073,0,19.09117566,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.7,591.7,82.77765003
36,Blue-039,2/24/20,Control,Lipid,1,1,4/24/20,2.0036,1.9308,0.4184,RP36,0,0,2.1,25.5,1.979425166,208.1,0,44.7,1343,0.2,24.15639015,0.2,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,450.6,33.77947737
37,164,5/11/20,Control,Protein,1,3,7/27/20,2.4514,2.3892,0.5269,RP37,0,0,0.6,7.2,0,74.2,0,136.8,1789.4,0,10.36005997,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,365.1,41.24754855
38,Blue-042,1/13/20,MG,Protein,1,1,3/15/20,2.3481,2.259,0.3121,RP38,0,0,6.2,40.4,3.962518833,211.7,0,103.2,1912.3,0.4,27.04379036,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.3,17.81480295
39,619,3/17/20,MG,Lipid,1,1,5/16/20,1.898,1.8802,0.3743,RP39,0,0,6.4,36.8,3.031190136,197.6,0,249.2,2820.1,0.2,29.16759603,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.4,73.3814231
40,AR 17-21,5/11/20,MG,Lipid,1,2,7/15/20,2.0632,1.9757,0.3637,RP40,0,0,0.3,4.9,0,127.4,0,130,2016.3,0,20.13791317,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.1,0,0.9,360.8,42.5258913
41,SEM 19-1354,3/17/20,Control,Protein,1,1,5/21/20,2.212,2.134,0.3053,RP41,0,0,2.1,18.5,3.350384345,196.3,0,377.8,3129.9,0,27.49589064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.4,77.30101539
42,610,5/11/20,MG,Protein,1,1,7/6/20,1.9594,1.9101,0.364,RP42,0,0,0.7,3.7,0,60.6,0,144.3,1138.1,0,17.30685217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.3,68.13186813
43,48,1/13/20,Control,Lipid,1,4,3/23/20,2.0552,1.959,0.3809,RP43,0,0,0.8,12.7,0,202.1,0,53.7,1208.5,0,18.14469673,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,1.3,642.1,88.91222543
44,209,5/11/20,MG,Lipid,1,2,8/12/20,2.1916,2.1456,0.5246,RP44,0,0,1.2,13.3,1.3718659,115.6,0,77.2,1186.1,0,23.40504663,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.5,0,2.8,289,39.39509468
45,LD 19-239,5/11/20,MG,Lipid,1,4,7/19/20,1.9476,1.8831,0.3025,RP45,0,0,7,111.7,6.066467382,295.9,0,240.3,4958.7,0,40.286097,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.3,463.2,50.24793388
46,Blue-047,3/17/20,Control,Lipid,1,1,5/12/20,2.2369,2.1384,0.3546,RP46,0,0,1,7.7,0,184.4,0,183.3,1696.5,0,36.56616147,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,653.8,59.40966347
47,Blue-039,2/24/20,Control,Lipid,1,2,4/25/20,1.8494,1.7777,0.4128,RP47,0,0,2.4,37.7,2.423769174,238,0,62.6,1707.3,0.2,23.89143731,0.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,509.2,52.97157623
48,Blue-039,2/24/20,Control,Lipid,1,4,4/27/20,1.5429,1.4219,0.2946,RP48,0,0,0.6,13.2,0,227.5,0,21.5,1530.2,0,16.24552859,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.4,0,0,471.3,70.6042091
49,SEM 19-1481,5/11/20,MG,Protein,1,1,7/11/20,2.0129,1.9377,0.2619,RP49,0,0,6.3,33.8,3.095220687,197.7,0,220.5,3375.8,0,29.77535371,0.5,0,0,0,0,0.8,0,0,0,0,0,0,0.8,0.9,0,0,632.3,143.0571465
50,610,5/11/20,MG,Protein,1,2,7/7/20,2.0396,1.9422,0.4372,RP50,0,0,0.2,2,0,26.5,0,112.2,1310.6,0,10.49212251,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,332.2,61.60414761
51,Blue-049,1/13/20,Control,Protein,1,5,3/17/20,2.001,1.9335,0.3996,RP51,0,0,1.2,16.8,1.289853683,115.2,0,111.5,1771.6,0,19.01748844,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,510.1,106.1061061
52,SEM 19-1354,3/17/20,Control,Protein,1,2,5/22/20,2.449,2.1825,0.2844,RP52,0,0,1.7,20.7,2.076039142,167.7,0,99.5,2907.8,0,28.71004787,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.9,53.91467417
53,Blue-032,2/24/20,MG,Protein,1,2,4/22/20,2.2904,2.203,0.4887,RP53,0,0,0.8,10,0.904483889,225.3,0,33.5,1377.2,0.4,16.83302577,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,552.6,46.38155651
54,601,3/17/20,Control,Protein,1,3,5/20/20,1.9059,1.8342,0.3522,RP54,0,0,0.3,8.1,1.042081989,229.4,0,130.6,2686.1,0,18.14718146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.8,114.7075525
